name,lon,lat
LA HALLE AUX CHAUSSURES VIERZON,47.23754306,2.09426556
LA HALLE ROMORANTIN-LANTHENAY,47.37551881,1.735831175
LA HALLE VETEMENTS â CHAUSSURES BONNEE,47.793559,2.379778
LA HALLE BOURGES - SAINT-DOULCHARD,47.11375294,2.3769197799999997
LA HALLE GIEN,47.70633,2.6397500000000003
LA HALLE VÃTEMENTS - CHAUSSURES TAVERS,47.7677665,1.614455
LA HALLE AUX CHAUSSURES BRIOUDE,45.30694,3.37463
LA HALLE AMBERT,45.541565,3.72767
LA HALLE AUX CHAUSSURES ISSOIRE,45.5524,3.26467
LA HALLE LE PUY-EN-VELAY,45.04209,3.88285
LA HALLE AUX CHAUSSURES PUY EN VELAY,45.05039,3.91387
LA HALLE SAINT-FLOUR,45.038495,3.06039
LA HALLE MONISTROL / LOIRE,45.28802,4.16162
LA HALLE VICHY,46.142975,3.4162749999999997
LA HALLE AUX CHAUSSURES THIERS,45.83638,3.50861
LA HALLE GANNAT,46.07896,3.20102
LA HALLE VARENNES SUR ALLIER,46.31763,3.39649
LA HALLE MALAUZAT,45.8876,3.06783
LA HALLE AUX CHAUSSURES CLERMONT LEMPDES,45.77725,3.196027
LA HALLE ROANNE,46.045040300000004,4.064360233333333
LA HALLE CLERMONT-FERRAND,45.781060000000004,3.12228
LA HALLE AUX CHAUSSURES LE COTEAU,46.01356,4.09626
LA HALLE SALAISE-SUR-SANNE,45.34395,4.8051200000000005
LA HALLE AUX CHAUSSURES VIENNE,45.525595,4.875532
LA HALLE AUX CHAUSSURES ANNONAY,45.255342,4.691524
LA HALLE ANNONAY,45.24401,4.66858
La HALLE GIVORS FEMMES,45.582096666666665,4.743476666666667
LA HALLE ST JEAN DE MUZOLS,45.07724,4.81699
LA HALLE AUX CHAUSSURES ST CHAMOND,45.478282,4.512236
LA HALLE AUX CHAUSSURES ROMANS SUR ISERE,45.05769,5.09709
LA HALLE AUX CHAUSSURES LYON MIONS,45.67594,4.97004
LA HALLE CHATTE,45.1429,5.3036200000000004
LA HALLE L'ISLE-D'ABEAU,45.612840000000006,5.234325
LA HALLE AUX CHAUSSURES LYON BRIGNAIS,45.67961,4.77408
LA HALLE AUX CHAUSSURES BOURGOIN,45.59756,5.26666
LA HALLE AUX CHAUSSURES LYON VENISSIEUX,45.700027,4.883183
LA HALLE AUX CHAUSSURES LYON PIERRE BENITE,45.69656,4.82561
CHAUSSLAND ST ETIENNE CENTRE 2,45.423252,4.391564
LA HALLE AUX CHAUSSURES ST ETIENNE RICAMARIE,45.41486,4.37261
LA HALLE ST JEAN DE SOUDAIN,45.568075,5.4214199999999995
LA HALLE AUX CHAUSSURES TULLINS,45.294802,5.506338
LA HALLE VILLARS,45.4749832,4.3507583
LA HALLE AUX CHAUSSURES ST ETIENNE FIRMINY,45.37999,4.27559
LA HALLE VOIRON,45.38426,5.578950000000001
LA HALLE DECIZE,46.83687,3.47551
LA HALLE YZEURE - MOULINS,46.541475000000005,3.344495
LA HALLE NEVERS -MARZY,46.998055,3.1042199999999998
LA HALLE AUX CHAUSSURES PARAY LE MONIAL,46.46838,4.12055
LA HALLE AUX CHAUSSURES AVALLON,47.49599,3.90803
LA HALLE AUX CHAUSSURES COSNE SUR LOIRE,47.38372,2.91522
LA HALLE (FEMME) CHALON-SUR-SAÃNE,46.771436666666666,4.861423333333334
LA HALLE AUX CHAUSSURES CHALON GEANT,46.79399,4.83084
LA HALLE TOURNUS,46.56428,4.9026
LA HALLE BEAUNE,47.037945,4.843635000000001
LA HALLE AUX CHAUSSURES TORCY LE CREUSOT,46.79284,4.44618
LA HALLE MONTCEAU-LES-MINES,46.68092,4.364855
LA HALLE MONTMOROT - LONS-LE-LAUNIER,46.672223333333335,5.530410000000001
LA HALLE DOLE,47.088281,5.480446
LA HALLE  CHAUSSURES & MAROQUINERIE DIJON TOISON D'OR,47.3400645,5.043084
